gene,rf_importance
gene_11903,0.022641242112238072
gene_18135,0.020833265416520138
gene_15898,0.01964614228084558
gene_9176,0.019521654623563894
gene_7964,0.01911098061695846
gene_14798,0.018252560432816055
gene_18746,0.017661954248401113
gene_3921,0.01672403357706868
gene_16358,0.016485682674654226
gene_15895,0.01591493106299319
gene_15896,0.01574996763899406
gene_9175,0.015583116436811015
gene_14114,0.014665979945957898
gene_2037,0.014152528724834247
gene_3737,0.014112860518524646
gene_7421,0.013664848276777435
gene_6733,0.013086322353979099
gene_17801,0.013066517332529122
gene_3439,0.012918330459256354
gene_203,0.012778896018728439
gene_13818,0.01268877533584022
gene_10284,0.012092995462699459
gene_11910,0.012084072483568319
gene_5407,0.012043607492584554
gene_6876,0.011984528311586806
